"year.f","pred","predtrans","year","year2","year.c","predlinear","residuals","sqq"
"2003",-0.111225635110224,0.894736842105263,2003,5,-5.07692307692308,1.18749408230581,0.292757240200547,713
"2004",0.344840486291729,1.41176470588235,2004,6,-4.07692307692308,1.198519179643,-0.213245526239354,713
"2005",-0.315081046639895,0.72972972972973,2005,7,-3.07692307692308,1.20954427698019,0.479814547250457,713
"2010",0.371563556432483,1.45,2010,12,1.92307692307692,1.26466976366613,-0.185330236333873,713
"2011",5.55111512312578e-17,1,2011,13,2.92307692307692,1.27569486100332,0.275694861003315,713
"2012",-0.875468737353901,0.416666666666666,2012,14,3.92307692307692,1.2867199583405,0.870053291673837,713
"2013",0.178248231406319,1.19512195121951,2013,15,4.92307692307692,1.29774505567769,0.10262310445818,713
"2014",0.602633173019114,1.82692307692308,2014,16,5.92307692307692,1.30877015301488,-0.518152923908197,713
"2015",-0.293761118528163,0.745454545454545,2015,17,6.92307692307692,1.31979525035207,0.574340704897523,713
"2016",0.849599357375483,2.33870967741935,2016,18,7.92307692307692,1.33082034768926,-1.0078893297301,713
"1998",0.82098055206983,2.27272727272727,1998,1,-11.5384615384615,1.85399174517879,-0.418735527548483,828
"1999",-0.318453731118535,0.727272727272727,1999,2,-10.5384615384615,1.84378865107282,1.11651592380009,828
"2000",0.916290731874146,2.49999999999998,2000,3,-9.53846153846154,1.83358555696685,-0.666414443033132,828
"2001",0.619039208406224,1.85714285714286,2001,4,-8.53846153846154,1.82338246286087,-0.0337603942819829,828
"2002",0.693147180559943,1.99999999999999,2002,5,-7.53846153846154,1.8131793687549,-0.186820631245092,828
"2012",0.587786664902119,1.8,2012,15,2.46153846153846,1.71114842769519,-0.0888515723048124,828
"2013",-2.22044604925031e-16,1,2013,16,3.46153846153846,1.70094533358922,0.700945333589216,828
"2014",1.15267950993838,3.16666666666665,2014,17,4.46153846153846,1.69074223948324,-1.47592442718341,828
"2015",-0.336472236621213,0.714285714285714,2015,18,5.46153846153846,1.68053914537727,0.966253431091558,828
"2016",0.182321556793954,1.2,2016,19,6.46153846153846,1.6703360512713,0.470336051271301,828
"2017",0.28768207245178,1.33333333333333,2017,20,7.46153846153846,1.66013295716533,0.326799623831996,828
"2018",-0.133531392624523,0.875,2018,21,8.46153846153846,1.64992986305936,0.774929863059357,828
"2019",1.13943428318836,3.125,2019,22,9.46153846153846,1.63972676895339,-1.48527323104661,828
"1999",0.218253566020018,1.24390243902439,1999,1,-10,1.32284744574558,0.0789450067211888,789
"2000",0.543086485984212,1.72131147540984,2000,2,-9,1.32430143573425,-0.39701003967559,789
"2001",-16.5364998746078,6.58096156622055e-08,2001,3,-8,1.32575542572291,1.3257553599133,789
"2002",0.305381649551181,1.35714285714286,2002,4,-7,1.32720941571158,-0.0299334414312775,789
"2003",0.909818217368538,2.48387096774194,2003,5,-6,1.32866340570025,-1.15520756204169,789
"2004",0.387765531008764,1.47368421052632,2004,6,-5,1.33011739568891,-0.143566814837404,789
"2005",0.47692407209031,1.61111111111111,2005,7,-4,1.33157138567758,-0.279539725433534,789
"2006",0.849493250950639,2.33846153846154,2006,8,-3,1.33302537566625,-1.00543616279529,789
